No,エリア,都内1事業所,全国1事業所,法人種別,都内事業所数,全国事業所数,事業所タイプ(推定),法人番号,法人名,代表者名,管理者名,事業所名,事業所番号,事業所所在地,電話番号,電話番号(整形),FAX,ホームページ,利用可能曜日,指定年月日,記録者,架電状況,架電日,架電回数,対応者,見込み度,次回アクション,次回架電予定日,希望時間帯,通話メモ,備考
843,杉並区,○,○,営利法人,1,1,独立系,7011302011909,有限会社　堀ノ内ケアサービス,,,有限会社　堀ノ内ケアサービス,1371502509,東京都杉並区堀ノ内3-2-13妙光堂ビル1Ｆ,03-3311-4610,03-3311-4610,03-3313-2101,,平日,,,,,,,,,,,,
845,杉並区,○,○,営利法人,1,1,独立系,9011302011106,有限会社ほっとらいふ,,,有限会社　ほっとらいふ,1371501832,東京都杉並区和田1-14-34Ｆ,03-5328-0787,03-5328-0787,03-5328-0797,http://hotlife.biz/,平日,,,,,,,,,,,,
847,杉並区,○,○,営利法人,1,1,独立系,3011302011631,有限会社ハッピーサービス,,,ハッピーサービス,1371502368,東京都杉並区和泉４－４７－２５メゾンディ松山２０５号室および２０２号分室,03-5305-3347,03-5305-3347,03-5305-3397,http://www.happyservices.jp/,平日,,,,,,,,,,,,
848,杉並区,○,○,営利法人,1,1,独立系,4011302012109,有限会社メディカル・ケアサポートツウェンティワン,,,有限会社　メディカル・ケアサポートツウェンティワン,1371503945,東京都杉並区井草1-6-10ヒガシビル1F,03-5303-5221,03-5303-5221,03-5303-5222,http://www.mcs21.co.jp,"平日,土曜日",,,,,,,,,,,,
849,杉並区,○,○,営利法人,1,1,薬局併設,4011302010137,有限会社ルート,,,オーベル薬局　西荻北店　居宅介護支援事業部,1371501030,東京都杉並区西荻北5-2-13,03-5303-7944,03-5303-7944,03-5303-7905,,平日,,,,,,,,,,,,
850,杉並区,○,○,営利法人,1,1,独立系,7011302011751,有限会社杉並介護センター,,,杉並介護センター,1371502343,東京都杉並区成田東4-26-15田畑コーポ301,03-5305-6835,03-5305-6835,03-5305-6836,,"平日,土曜日,日曜日,祝日",,,,,,,,,,,,
851,杉並区,○,○,営利法人,1,1,独立系,9011302009595,有限会社松庵ケアサービス,,,有限会社松庵ケアサービス,1371500321,東京都杉並区松庵3丁目39-10メイゾンオーク202,03-3333-4783,03-3333-4783,03-3331-9028,,平日,,,,,,,,,,,,
852,杉並区,○,○,営利法人,1,1,独立系,2011302012226,有限会社浜野ライフ,,,ベルケア,1371502954,東京都杉並区浜田山1-24-20ラセイム新美I-111号室,03-5316-3991,03-5316-3991,03-5316-3993,https://bellcare.ne.jp,平日,,,,,,,,,,,,
853,杉並区,○,○,営利法人,1,1,独立系,8011302004861,有限会社白鷺介護サービス,,,有限会社　白鷺介護サービス,1371500503,東京都杉並区下井草3－41－7サンビル２階,03-3399-1997,03-3399-1997,03-3399-8867,,平日,,,,,,,,,,,,
859,杉並区,○,○,営利法人,1,1,独立系,2011301018827,株式会社　ケィズコネクションズ,,,ケィズ居宅介護支援杉並,1371508118,東京都杉並区上荻1-18-16亀屋酒販第一ビル501号,03-5335-7980,03-5335-7980,03-5335-9703,,平日,,,,,,,,,,,,
860,杉並区,○,○,営利法人,1,1,訪問看護併設,1011301016591,株式会社　テラ,,,笑生訪問看護ステーション,1371506088,東京都杉並区西荻南３－７－2,03-5344-9838,03-5344-9838,03-5344-9839,https://shosei-tera.co.jp/,平日,,,,,,,,,,,,
861,杉並区,○,○,営利法人,1,1,独立系,9010001056593,株式会社　ベストサポート日本橋,,,ベストサポート杉並ケアプラン,1371500461,東京都杉並区荻窪5-29-20ﾊﾟｼﾌｨｯｸｱｰｸﾋﾞﾙ7Ｆ,03-3398-3576,03-3398-3576,03-3398-3582,http://www.b-s-n.com,平日,,,,,,,,,,,,
862,杉並区,○,○,営利法人,1,1,独立系,6011301015911,株式会社　希望,,,のぞみケアサービス,1371505684,東京都杉並区梅里2-40-16横山ビルM2F,03-5305-8061,03-5305-8061,03-5305-8062,,平日,,,,,,,,,,,,
865,杉並区,○,○,営利法人,1,1,独立系,4011303000401,株式会社　銀河研究所,,,ケアステーション銀河,1371502699,東京都杉並区久我山4-2-29リベスト久我山ビル2Ｆ,03-3334-5563,03-3334-5563,03-3334-5563,http://hp.kaipoke.biz/8wg/index.html,"平日,土曜日",,,,,,,,,,,,
868,杉並区,○,○,営利法人,1,1,独立系,4011301030169,株式会社ふくなが,,,オレンジノート居宅介護支援事業所,1371511567,東京都杉並区宮前5-24-11ハイツエルメス103,03-6454-2677,03-6454-2677,03-6454-2678,,平日,,,,,,,,,,,,
870,杉並区,○,○,営利法人,1,1,独立系,4011301022059,株式会社エスモード,,,オリエンタルケア,1371509108,東京都杉並区上井草1-32-2清水ビル203,03-5310-5740,03-5310-5740,03-5310-5126,,"平日,土曜日",,,,,,,,,,,,
871,杉並区,○,○,営利法人,1,1,独立系,5011301018361,株式会社キラキラステーション,,,キラキラステーション,1371508704,東京都杉並区阿佐谷南2丁目14番23号エクシブ阿佐ヶ谷102,03-6454-6513,03-6454-6513,03-6454-6523,,平日,,,,,,,,,,,,
872,杉並区,○,○,営利法人,1,1,独立系,5011301012513,株式会社クールヘッド,,,ウォームハート居宅介護支援,1371503952,東京都杉並区上井草３－１７－２４,03-3335-5691,03-3335-5691,03-3397-3199,https://www.coolhead.co.jp/,平日,,,,,,,,,,,,
879,杉並区,○,○,営利法人,1,1,独立系,9011301016188,株式会社プロケア,,,プロケア,1371505056,東京都杉並区西荻北2-7-2405,03-3394-6622,03-3394-6622,03-3394-6650,,平日,,,,,,,,,,,,
885,杉並区,○,○,営利法人,1,1,独立系,9011601018082,株式会社素的介護,,,ジョイフルケアサービス,1371511658,東京都杉並区阿佐谷南1-23-20,03-6454-6204,03-6454-6204,03-5307-7173,http://suteki-kaigo.com,"平日,土曜日",,,,,,,,,,,,
886,杉並区,○,○,営利法人,1,1,独立系,3011301017415,株式会社蒼い風,,,パーソナルサポート　蒼い風,1371506948,東京都杉並区西荻北３－３３－１４西荻北ホープハウス１０６,03-6913-8985,03-6913-8985,03-6913-8986,,平日,,,,,,,,,,,,
887,杉並区,○,○,営利法人,1,1,独立系,3011301020014,株式会社ＧＴライフサポート,,,アスノステーション,1371508225,東京都杉並区松ノ木3-31-15,03-5307-7050,03-5307-7050,03-5307-7051,,平日,,,,,,,,,,,,
888,杉並区,○,○,営利法人,1,1,独立系,1011301028505,株式会社Ｌｏｎｇｓ,,,ほっとステーション　悠,1371511195,東京都杉並区高井戸西1－27－20築山ビル　501,03-6454-2210,03-6454-2210,03－6800－3605,なし,平日,,,,,,,,,,,,
890,杉並区,○,○,営利法人,1,1,独立系,6470001016257,株式会社ＳＵＮ,,,アシスト・ケア,1371510916,東京都杉並区高円寺南2-53-4アークビル高円寺303,03-6379-1189,03-6379-1189,03-6379-1190,,平日,,,,,,,,,,,,
891,杉並区,○,○,営利法人,1,1,独立系,8011301020380,株式会社Ｔａｋｅ　Ａｉｍ,,,福は家　相談室,1371509082,東京都杉並区善福寺４－１７－６,０３－６９１３－８８２４,03-6913-8824,０３－６９１３－８８２９,https://www.takeaim703.com/,平日,,,,,,,,,,,,
892,杉並区,○,○,営利法人,1,1,独立系,9020001155015,株式会社ｈａｌｋａ,,,ぴゅあ居宅介護支援杉並,1361590928,東京都杉並区高円寺南4丁目27‐7ラインビルド高円寺・林403,03‐5913‐7696,03-5913-7696,03‐5913‐8446,https://halka-pure.com,"平日,祝日",,,,,,,,,,,,
907,杉並区,○,○,営利法人,1,1,独立系,2012401022231,藤井健康科学株式会社,,,介護プランナーふじい,1373302015,東京都杉並区久我山3-15-16リトルブーケ久我山106,03-5941-9819,03-5941-9819,03-5941-9819,,"平日,土曜日,祝日",,,,,,,,,,,,
909,杉並区,○,○,営利法人,1,1,独立系,2011303002597,青い鳥合同会社,,,青い鳥,1371509462,東京都杉並区荻窪４－２４－１８荻窪家族レジデンス１０２号室,０３－６３８３－５８８８,03-6383-5888,０３－６３８３－５８９２,http://aoitori-kaigo.com,平日,,,,,,,,,,,,
911,板橋区,○,○,営利法人,1,1,独立系,7011401016908,870株式会社,,,はなまる介護,1371908623,東京都板橋区中板橋29-8クリテックビル３F,03-5943-9870,03-5943-9870,03-5943-9871,https://870kaigo.com,"平日,祝日",,,,,,,,,,,,
913,板橋区,○,○,営利法人,1,1,独立系,1011401022837,あおぞら株式会社,,,あおぞら居宅介護支援事業所,1371911775,東京都板橋区板橋４－５－６,03-5944-2946,03-5944-2946,03-5944-2947,,平日,,,,,,,,,,,,
917,板橋区,○,○,営利法人,1,1,独立系,4011401012356,ケーアイサポート株式会社,,,ケーアイサポート介護事業部,1371905785,東京都板橋区大和町１０番１１号パラストネオ板橋２０２,03-6905-1054,03-6905-1054,03-6905-1055,,平日,,,,,,,,,,,,
922,板橋区,○,○,営利法人,1,1,独立系,1011401012722,介護ジャパン株式会社,,,居宅介護支援事業所オレンジュ徳丸,1371912732,東京都板橋区徳丸７－２－４７CaratState３０５,03-6906-7197,03-6906-7197,03-6906-7198,https://orenju.kaigojapan.co.jp/,平日,,,,,,,,,,,,
941,板橋区,○,○,営利法人,1,1,独立系,7011803001904,合同会社　Sincere-Hips,,,しっぷす居宅介護支援事業所,1371911577,東京都板橋区南常盤台1-24-6103,050-3552-4165,050-3552-4165,,http://hp.kaipoke.biz/xtu/index.html,"平日,日曜日",,,,,,,,,,,,
942,板橋区,○,○,営利法人,1,1,独立系,1011403003414,合同会社　色どり,,,介護相談室カラー,1371912005,東京都板橋区四葉2-23--8サンマンションアトレ板橋赤塚504号,03-3976-8060,03-3976-8060,03-5930-9791,,平日,,,,,,,,,,,,
943,板橋区,○,○,営利法人,1,1,独立系,4011503006025,合同会社こころケア,,,こころケア居宅,1371912484,東京都板橋区常盤台4-32-6ドミール常盤台304,03-6312-0633,03-6312-0633,03-6766-0898,,平日,,,,,,,,,,,,
944,板橋区,○,○,営利法人,1,1,独立系,7011403002146,合同会社さんあい,,,さんあい,1371910918,東京都板橋区小豆沢1-12-6プラッセ小豆沢801,03-5914-2300,03-5914-2300,03-5914-2350,https://sanaikurabu.wixsite.com/website,"平日,祝日",,,,,,,,,,,,
945,板橋区,○,○,営利法人,1,1,独立系,6011403003707,合同会社じゅんしん,,,かいごのなかいた,1371912724,東京都板橋区中板橋2-9サンシンハイム102,03-6912-4207,03-6912-4207,03-6912-4622,,平日,,,,,,,,,,,,
946,板橋区,○,○,営利法人,1,1,独立系,8011403002913,合同会社サード・プレイス,,,ケアサポート　ルナ,1371911635,東京都板橋区大山金井町17番1号グリーン新光302,0359268025,0359268025,0359268027,,平日,,,,,,,,,,,,
947,板橋区,○,,営利法人,1,3,独立系,8030003007057,合同会社古都,,,居宅介護支援事業所てんとう虫,1371912500,東京都板橋区富士見町36-4メイゾン富士見101,03-6905-6511,03-6905-6511,03-6905-6390,,平日,,,,,,,,,,,,
948,板橋区,○,○,営利法人,1,1,独立系,3011603001843,合同会社道生舎,,,みちおい居宅介護支援事業所,1371910231,東京都板橋区徳丸3-38-34ヒルサイドハイツB1F,03-6909-7022,03-6909-7022,03-6909-7072,https://www.mitioisya.tokyo/,平日,,,,,,,,,,,,
949,板橋区,○,○,営利法人,1,1,独立系,7011403004167,合同会社ＨＳホームケア,,,みもざ居宅介護支援事業所,1371912708,東京都板橋区大山金井町１１番１０号山手通り大山ビル４階,03-6912-4964,03-6912-4964,03-6912-4965,,平日,,,,,,,,,,,,
951,板橋区,○,○,営利法人,1,1,独立系,5011402017163,有限会社　はな,,,居宅介護支援はな,1371908268,東京都板橋区蓮根2-10-15竹上ビル　1F,03-5392-9010,03-5392-9010,03-5914-1337,http://www.hana-inc.com/hana,平日,,,,,,,,,,,,
952,板橋区,○,○,営利法人,1,1,独立系,1011402018495,有限会社　介護福祉サービス,,,高島平介護センター　介護と暮しの相談室,1371904770,東京都板橋区高島平２丁目33-1高島平団地壱番街商店街　205号,03-3935-7166,03-3935-7166,03-5921-0632,https://www.itabasi-kaigo.com,"平日,土曜日",,,,,,,,,,,,
953,板橋区,○,○,営利法人,1,1,独立系,8011402018555,有限会社さわやか福寿,,,介護ステーションさわやか☆ケア,1371908011,東京都板橋区桜川3-13-10ヴィラカミング305,03-6906-4858,03-6906-4858,03-6906-4859,,"平日,祝日",,,,,,,,,,,,
954,板橋区,○,○,営利法人,1,1,独立系,3011402005748,有限会社たちばな会,,,さくらヘルプケア,1371904069,東京都板橋区高島平1-48-5コーポ高島平102,03-3935-2201,03-3935-2201,03-3935-2203,,平日,,,,,,,,,,,,
955,板橋区,○,○,営利法人,1,1,独立系,4011402008873,有限会社めぐりあい,,,有限会社めぐりあい,1371902386,東京都板橋区仲町37-7HIROIビル　１F,03-5917-6309,03-5917-6309,03-5917-6307,http://www.geocities.jp/himikomeguriai/,平日,,,,,,,,,,,,
956,板橋区,○,○,営利法人,1,1,独立系,5011402018896,有限会社イマイ,,,こころね,1371905116,東京都板橋区坂下2-22-2,03-5914-3523,03-5914-3523,03-5914-3524,,平日,,,,,,,,,,,,
957,板橋区,○,○,営利法人,1,1,独立系,9011402001444,有限会社エスアイシー,,,大谷口ケアサービス居宅介護支援事業所,1371903368,東京都板橋区大谷口北町６３－１１,03-5964-5355,03-5964-5355,03-5964-5358,,"平日,土曜日",,,,,,,,,,,,
958,板橋区,○,○,営利法人,1,1,独立系,2011402018189,有限会社ティーアンドエムカンパニー,,,ピースケアサービス,1371904259,東京都板橋区新河岸3-15-7303,03-5968-3235,03-5968-3235,03-5968-3236,,平日,,,,,,,,,,,,
959,板橋区,○,○,営利法人,1,1,独立系,8011402019000,有限会社フレッシュケアサービス,,,有限会社フレッシュケアサービス,1371909241,東京都板橋区志村1-13-12ライオンズマンション志村坂上201号,03-3969-9117,03-3969-9117,03-5914-2022,http://www.freshcare.jp/,平日,,,,,,,,,,,,
960,板橋区,○,○,営利法人,1,1,独立系,6011402018210,有限会社ミセス，カネコ,,,居宅介護支援事業所ひらい,1371904655,東京都板橋区蓮根2-18-21,03-5916-3345,03-5916-3345,03-5916-3346,,平日,,,,,,,,,,,,
961,板橋区,○,○,営利法人,1,1,独立系,9011402017688,有限会社レインボーブリッジ,,,レインボーブリッジ板橋ケアセンター,1371903921,東京都板橋区板橋３－５－１５,03-5943-2951,03-5943-2951,03-5943-2952,http://www.rainbowbridge.co.jp/,平日,,,,,,,,,,,,
962,板橋区,○,○,営利法人,1,1,訪問看護併設,9011402003944,有限会社三東工芸社,,,青出木訪問看護ステーション,1371908383,東京都板橋区小茂根一丁目２７番１６号江古田第４ロイヤルコーポ103号室,03-6782-6942,03-6782-6942,03-5917-6942,https://aodeki-st.com/,平日,,,,,,,,,,,,
963,板橋区,○,○,営利法人,1,1,独立系,4011402002744,有限会社協徳,,,ぐうにいずケアセンター,1371903350,東京都板橋区西台4-8-13ヒラタビル2F,03-3550-5336,03-3550-5336,03-3550-5285,http://www.gunizu.com/,"平日,土曜日",,,,,,,,,,,,
964,板橋区,○,○,営利法人,1,1,独立系,6011402010836,有限会社希ケアーサービス,,,有限会社希ケアーサービス　居宅介護支援事業所,1371902964,東京都板橋区幸町20-14,03-3956-2159,03-3956-2159,03-3956-2168,,平日,,,,,,,,,,,,
965,板橋区,○,○,営利法人,1,1,独立系,5011402017287,有限会社赤塚ケアサービス,,,有限会社赤塚ケアサービス,1371903418,東京都板橋区赤塚6-6-33,03-5904-5391,03-5904-5391,03-5904-5392,,平日,,,,,,,,,,,,
966,板橋区,○,○,営利法人,1,1,独立系,3011402017776,有限会社ＥＨＨＳ,,,ハートヘルプ関,1371903962,東京都板橋区中台１丁目３６番７,03-5398-3397,03-5398-3397,03-5398-3530,,平日,,,,,,,,,,,,
969,板橋区,○,○,営利法人,1,1,独立系,7011401018219,株式会社MEDICALCOLOR,,,居宅介護支援事業所Re:ACTIVE,1371911528,東京都板橋区大山金井町2-4パインメートⅡ１階,03-5926-3109,03-5926-3109,03-6909-5461,https://www.medical-color.com/home-care/,平日,,,,,,,,,,,,
970,板橋区,○,,営利法人,1,2,薬局併設,3380002020179,株式会社　LasiQ,,,フジ薬局居宅介護支援事業所,1371910157,東京都板橋区大山西町49-5,０３－６９０９－４１８０,03-6909-4180,０３－６９０９－４１８１,http://lasiq.co.jp,平日,,,,,,,,,,,,
971,板橋区,○,○,営利法人,1,1,独立系,5011401017008,株式会社　ぶどうの木,,,介護サービス　ぶどうの木,1371908664,東京都板橋区大山町３８－８メゾン大野１０１,０３－６３２６－８１４６,03-6326-8146,０３－６７５３－９８２９,,平日,,,,,,,,,,,,
972,板橋区,○,○,営利法人,1,1,独立系,7010001084043,株式会社　ジョイライフ,,,ジョイライフ高島平　ケアサービス事業部,1371907690,東京都板橋区新河岸３－１２－９,03-5967-3832,03-5967-3832,03-5967-3834,http://www.joylife-jp.com,平日,,,,,,,,,,,,
973,板橋区,○,○,営利法人,1,1,独立系,4011401010450,株式会社　スローステップ,,,スローステップ居宅介護支援事業所　蓮根,1371904820,東京都板橋区蓮根2-17-7,03-5916-0981,03-5916-0981,03-3967-1660,http://slowstep2000.com/,"平日,土曜日",,,,,,,,,,,,
975,板橋区,○,○,営利法人,1,1,独立系,9040001079922,株式会社きずなコミュニケーションズ,,,介護相談室とびら,1371908532,東京都板橋区常盤台2-10-12,03-6454-9956,03-6454-9956,03-6454-9957,,平日,,,,,,,,,,,,
976,板橋区,○,○,営利法人,1,1,独立系,4011401016489,株式会社きらきらケアサービス,,,きらきらケアサービス,1371908250,東京都板橋区赤塚1-1-10,03-6281-0604,03-6281-0604,03-6281-0607,http://kirakiracs.com,平日,,,,,,,,,,,,
977,板橋区,○,○,営利法人,1,1,独立系,1011401012549,株式会社ぐりーんりーふ,,,ときわ介護サービス,1371905934,東京都板橋区常盤台３－１９－１３１０２,03-6751-5504,03-6751-5504,03-6782-5505,https://greenleaf.tokyo/,平日,,,,,,,,,,,,
978,板橋区,○,○,営利法人,1,1,独立系,8011401015685,株式会社こねこのて,,,居宅介護支援事業所　花のまる,1371908573,東京都板橋区志村３-２６-１５,０３－５９７０－４３３７,03-5970-4337,０３－６７８３－５９５８,http://www.hananomaru.net/,"平日,土曜日,祝日",,,,,,,,,,,,
981,板橋区,○,○,営利法人,1,1,独立系,1011401027497,株式会社アウフヘーベン,,,ギフト居宅介護支援事業所,1371912773,東京都板橋区南常盤台二丁目１８番３号コーポホリエ２０２,0369059670,0369059670,0369059677,,平日,,,,,,,,,,,,
982,板橋区,○,○,営利法人,1,1,独立系,1011401019874,株式会社アサヒソーシャルワークス,,,アサヒソーシャルワークス,1371910496,東京都板橋区板橋2-44-10ヴァンクール板橋601,03-5944-2621,03-5944-2621,03-5944-2622,https://asahi-sw.com,平日,,,,,,,,,,,,
983,板橋区,○,,営利法人,1,2,独立系,7011401010761,株式会社アサヒ・スタッフサービス,,,アサヒケアサービス,1371901446,東京都板橋区蓮沼町4-7ライオンズマンション蓮沼１０１号,03-5948-7606,03-5948-7606,03-5915-6640,http://www.assc.co.jp/index.html,平日,,,,,,,,,,,,
984,板橋区,○,○,営利法人,1,1,独立系,3010001137184,株式会社ガイアメディケア,,,G-careプランセンター,1371912336,東京都板橋区舟渡２-４-８ＨａＲａＤａハウス１Ｆ,０３-６４５４-５７１２,03-6454-5712,０３-６４５４-５７１３,,平日,,,,,,,,,,,,
987,板橋区,○,○,営利法人,1,1,独立系,6011401016982,株式会社ケアセンス,,,ケアセンスプランセンター,1371908797,東京都板橋区蓮根2-19-23ライオンズマンション蓮根302,03-3965-1606,03-3965-1606,03-3965-1607,https://caresense.co.jp/,平日,,,,,,,,,,,,
988,板橋区,○,○,営利法人,1,1,独立系,8011402018687,株式会社ケアーシップ,,,にこにこケアーシップ,1371910801,東京都板橋区氷川町47-9ライオンズマンション大山氷川町101,03-6905-6766,03-6905-6766,03-5375-3312,,平日,,,,,,,,,,,,
991,板橋区,○,○,営利法人,1,1,独立系,6011401018194,株式会社コスモス,,,株式会社コスモス,1371909514,東京都板橋区東新町1-52-1,０３－５９６４－５１４１,03-5964-5141,０３－５９６４－５１４２,,平日,,,,,,,,,,,,
992,板橋区,○,○,営利法人,1,1,独立系,3011401017091,株式会社ゴルディロックス,,,居宅介護支援事業所ゴルディロックス,1371909548,東京都板橋区仲町38-3コープエンリッチ1F,03-5926-8491,03-5926-8491,03-5926-8492,https://goldirocks.co.jp/,平日,,,,,,,,,,,,
993,板橋区,○,,営利法人,1,2,独立系,3010401103075,株式会社シノケンウェルネス,,,アップルケア東京ケアプランセンター,1371908789,東京都板橋区上板橋2-13-3ライオンズマンション上板橋107,03-6858-6512,03-6858-6512,03-6858-6513,https://www.applecare-kaigo.com/homecare/,平日,,,,,,,,,,,,
995,板橋区,○,○,営利法人,1,1,独立系,1011401018182,株式会社ダイヤＰＬＵＳ,,,つながりホームヘルプ,1371909563,東京都板橋区氷川町25-17星野ビル1Ｆ,03-5926-4006,03-5926-4006,03-5926-4007,http://tunagarihelp.com,"平日,祝日",,,,,,,,,,,,
996,板橋区,○,○,営利法人,1,1,独立系,9011401016410,株式会社チャレンジ,,,訪問介護　すみれケア,1371908169,東京都板橋区小豆沢4-5-4,03-5914-6052,03-5914-6052,03-5392-5052,http://www.challenge-home.jp,"平日,祝日",,,,,,,,,,,,
998,板橋区,○,○,営利法人,1,1,独立系,2011401011509,株式会社ニューエイジ,,,居宅介護支援事業所ちかい,1371911684,東京都板橋区本町20-8ゲイブルスハイツ１F,03-6912-4601,03-6912-4601,050-1507-4496,https://newage-co-ltd.com/,平日,,,,,,,,,,,,
1002,板橋区,○,○,営利法人,1,1,独立系,6011401023153,株式会社健祐会,,,健祐会居宅介護支援事業所,1371911940,東京都板橋区南常盤台1-7-14南ときわ台ビルB1F,03-5964-5334,03-5964-5334,03-6909-4212,https://kenyukai.co.jp,平日,,,,,,,,,,,,
1003,板橋区,○,○,営利法人,1,1,独立系,3011401026687,株式会社和合,,,和合ケアプランセンター,1371912609,東京都板橋区蓮根2-31-7プラザ・ホワイトベアー404,03-6454-9305,03-6454-9305,03-6454-9306,,平日,,,,,,,,,,,,
1004,板橋区,○,○,営利法人,1,1,独立系,2013301020036,株式会社揚工舎,,,ヨウコー板橋ケアステーション居宅介護支援,1371602044,東京都板橋区板橋1-10-14,03-5944-2790,03-5944-2790,03-5943-2931,http://rehabili-youko.com/,平日,,,,,,,,,,,,
1005,板橋区,○,○,営利法人,1,1,独立系,8030001073191,株式会社日本ケアーシステム,,,居宅介護支援事業所　ケアプラン　リライフ,1371910249,東京都板橋区成増3-2-13池田ハイツ202,03-6915-6654,03-6915-6654,03-6915-6657,,"平日,土曜日",,,,,,,,,,,,
1006,板橋区,○,○,営利法人,1,1,独立系,5011401016109,株式会社福ぶくろ,,,株式会社　福ぶくろ　介護のたくみ,1371907880,東京都板橋区上板橋2-30-2,03-6906-4182,03-6906-4182,03-6906-4183,http://www.fukubukuro-takumi.com/,平日,,,,,,,,,,,,
1007,板橋区,○,○,営利法人,1,1,独立系,2011401015492,株式会社諏訪,,,ヘルパーステーションスワ,1371907344,東京都板橋区双葉町４１－１２,03-3962-5994,03-3962-5994,03-5944-1371,,"平日,土曜日",,,,,,,,,,,,
1008,板橋区,○,○,営利法人,1,1,独立系,5010501046924,株式会社ＣＡＮＯＷＬＩＦＥ,,,ケアプラン　カラフル,1371912476,東京都板橋区板橋4-38-5パインコート201,03−4400-0437,03-4400-0437,03−6800-3400,https://colorful-kango.com/kyotakukaigoshien,平日,,,,,,,,,,,,
1009,板橋区,○,○,営利法人,1,1,独立系,2011401015765,株式会社ＭＯＲＥ,,,ケアサポート・モア　板橋,1371907674,東京都板橋区蓮根3-4-7リブリ・MORE2nd　1階,03-5916-8381,03-5916-8381,03-5948-7892,https://www.more-kaigo.com/,"平日,祝日",,,,,,,,,,,,
1010,板橋区,○,○,営利法人,1,1,独立系,4011401025572,株式会社ＳＫＩＰ,,,すきっぷのケアマネ,1371912781,東京都板橋区成増1-28-15林屋ビル907号室,03-6904-1894,03-6904-1894,03-6904-1627,https://www.skip-hns.info,"平日,土曜日",,,,,,,,,,,,
1022,板橋区,○,○,営利法人,1,1,独立系,7011401017625,花咲くホーム株式会社,,,居宅介護支援　ハピネス,1371909134,東京都板橋区板橋1-43-6宝ビル7Ｆ,03-6794-5663,03-6794-5663,03-6794-5669,http://hanasakuhappiness.jimdo.com/,平日,,,,,,,,,,,,
1023,板橋区,○,○,営利法人,1,1,独立系,5011401016570,Ａ＆Ｋ株式会社,,,Ａ＆Ｋケアプランニング,1371909126,東京都板橋区蓮根1-17-5,03-5948-7207,03-5948-7207,03-5918-8904,http://ak-community.com/,"平日,祝日",,,,,,,,,,,,
1025,板橋区,○,○,営利法人,1,1,独立系,6011403002502,Ｆｕｓｈａ　Ｃｏｎｓｕｌｔｉｎｇ合同会社,,,ケアステーション・クリップス,1371912542,東京都板橋区赤塚新町3-20-9,05036375812,05036375812,0368246481,https://clupsgoupr.jp,平日,,,,,,,,,,,,
1027,板橋区,○,○,営利法人,1,1,独立系,8011403002590,ｓｔｅｌｌａ８３株式会社,,,Ｌａｓｔｅｌｌａ居宅介護支援事業所,1371912377,東京都板橋区常盤台1－52－3STELLASときわ台３階,03-5926-7951,03-5926-7951,03-5944-2604,,"平日,土曜日",,,,,,,,,,,,
1028,板橋区,○,○,営利法人,1,1,独立系,5290002032033,ﾒﾃﾞｨｶﾙﾗｲﾅｰｽﾞ有限会社,,,MLケアプランセンター板橋,1371912062,東京都板橋区蓮根2-31-7プラザホワイトベアー101B,03-5918-8032,03-5918-8032,03-6454-9251,https://m-houkan.com/,平日,,,,,,,,,,,,
1029,江戸川区,○,○,営利法人,1,1,独立系,2011701019805,clueファクトリー株式会社,,,ケアルート,1372308864,東京都江戸川区東小松川2-17-16ｻﾝﾊｲﾂ101,03-6886-9086,03-6886-9086,03-6886-9086,,"平日,土曜日",,,,,,,,,,,,
1030,江戸川区,○,○,営利法人,1,1,独立系,4011703002699,はる合同会社,,,はる介護サービス,1372310472,東京都江戸川区篠崎町1-15-141F,03-6638-8391,03-6638-8391,03-6638-8392,https://haru-kaigo.sub.jp/,平日,,,,,,,,,,,,
1031,江戸川区,○,○,営利法人,1,1,独立系,6011701015445,ひなたぼっこ株式会社,,,ひなたぼっこ居宅介護ステーション,1372306009,東京都江戸川区東小岩5-4-15大山ビル1階,03-6657-8338,03-6657-8338,03-6657-8327,,平日,,,,,,,,,,,,
1032,江戸川区,○,○,営利法人,1,1,独立系,1011701023122,アスカライジング株式会社,,,いきいきサポートケアプランⅡ,1372310217,東京都江戸川区南小岩7-40-29レジデンス幸101,03-6806-9425,03-6806-9425,03-6806-9426,,平日,,,,,,,,,,,,
1034,江戸川区,○,○,営利法人,1,1,独立系,5011701011239,グランディ・ホーム株式会社,,,サンクスケア,1372303543,東京都江戸川区中央3-7-131階,03-3656-8841,03-3656-8841,03-3656-8840,,平日,,,,,,,,,,,,
1040,江戸川区,○,○,営利法人,1,1,独立系,3011701012222,メディカルバイオコーポレーション株式会社,,,かなで,1372307544,東京都江戸川区松島3-41-10201,03-5661-7567,03-5661-7567,03-5661-7568,,平日,,,,,,,,,,,,
1041,江戸川区,○,○,営利法人,1,1,独立系,1011701009996,ライフアンドケア株式会社,,,いきいき介護サービス,1372302933,東京都江戸川区中葛西7-17-19リラ・ポルト1F,03-5679-6321,03-5679-6321,03-5679-6322,,平日,,,,,,,,,,,,
1053,江戸川区,○,○,営利法人,1,1,独立系,7011703002770,合同会社K.Iワールド,,,けいあいライフ,1372310548,東京都江戸川区江戸川５丁目２１－１クロス江戸川２０５,070-3275-8027,070-3275-8027,03-6740-1343,,平日,,,,,,,,,,,,
