除外理由,No,エリア,都内1事業所,全国1事業所,法人種別,都内事業所数,全国事業所数,事業所タイプ(推定),法人番号,法人名,代表者名,管理者名,事業所名,事業所番号,事業所所在地,電話番号,電話番号(整形),電話種別,FAX,ホームページ,利用可能曜日,指定年月日,記録者,架電状況,架電日,架電回数,対応者,見込み度,次回アクション,次回架電予定日,希望時間帯,商談日,商談結果,通話メモ,備考
民間(営利法人)ではない: 社会福祉法人,278,中野区,○,,社会福祉法人,1,4,独立系,8380005002533,社会福祉法人南東北福祉事業団,,,居宅介護支援事業所　江古田の森,1371402866,東京都中野区江古田３－１４－１９,03-5318-3750,03-5318-3750,固定(23区),03-5318-3730,http://www.kaigo-egota.com/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,281,中野区,○,○,社会福祉法人,1,1,独立系,4011205000219,社会福祉法人浄風園,,,江古田ケアマネジメントセンター,1371400159,東京都中野区江古田４－１９－９,03-3228-1857,03-3228-1857,固定(23区),03-3228-1865,http://www.johuen.com,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,293,北区,○,○,一般社団・財団,1,1,独立系,1011505001836,一般社団法人ナースプラネット,,,介護プランセンターそれいゆ,1371705961,東京都北区田端新町1-22-5寿ビル1階,03-5692-2070,03-5692-2070,固定(23区),03-5855-3745,https://www.nurseplanet.jp/service/plan_center.html,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 公益法人,295,北区,○,,公益法人,1,2,訪問看護併設,5011005003775,公益財団法人日本訪問看護財団,,,公益財団法人日本訪問看護財団立あすか山訪問看護ステーション,1371700202,東京都北区神谷1-13-10KourtK31階,03-5959-3121,03-5959-3121,固定(23区),03-5959-3151,http://www.jvnf.or.jp/asukayama/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,299,北区,○,○,医療法人,1,1,医療機関併設,4011505000546,医療法人社団はなぶさ,,,赤羽整形リウマチクリニック居宅介護支援事業部,1371703503,東京都北区赤羽西１丁目３４番２号玉川ビル２Ｆ,03-3900-0567,03-3900-0567,固定(23区),03-3900-0572,https://akabaneseikei-ds.jp,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,300,北区,○,○,医療法人,1,1,独立系,8011505000492,医療法人社団博栄会,,,医療法人社団　博栄会　居宅介護支援センター,1371700889,東京都北区浮間2-1-13,03-5915-6123,03-5915-6123,固定(23区),03-3558-8831,http://www.hakueikai.or.jp,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,301,北区,○,○,医療法人,1,1,独立系,7011505000527,医療法人社団岩江クリニック,,,西が丘居宅介護支援事業所,1371700442,東京都北区西が丘1-5-7ヴィラ西ヶ丘101号室,03-3905-1885,03-3905-1885,固定(23区),03-3905-1883,http://www.linkclub.or.jp/~iwaecl/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,303,北区,○,○,医療法人,1,1,医療機関併設,4011505000496,医療法人社団志誠会,,,医療法人社団志誠会京北診療所,1371701267,東京都北区志茂２－１６－１４,03-3903-0118,03-3903-0118,固定(23区),03-3903-0121,https://shiseikai-keihoku.com/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,307,北区,○,○,医療法人,1,1,医療機関併設,2011505000481,医療法人財団逸生会,,,大橋病院居宅介護支援事業所,1371705664,東京都北区赤羽西5-12-4105,03-5963-6300,03-5963-6300,固定(23区),03-5963-8084,https://www.o-hp.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,360,北区,○,○,社会福祉法人,1,1,独立系,2011505000663,社会福祉法人　東京都福祉事業協会,,,赤羽北さくら荘ケアプランセンター,1371703347,東京都北区赤羽北3－6－10,03-3900-3909,03-3900-3909,固定(23区),03-3900-3902,https://www.ak-sakurasou.org/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,361,北区,○,○,社会福祉法人,1,1,独立系,6011505000676,社会福祉法人うらら,,,すまいるプラス,1371705581,東京都北区上十条4-17-8フラウ新盛ビル201,03-5948-8431,03-5948-8431,固定(23区),03-5948-8432,http://www.urara.or.jp/,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,363,北区,○,○,社会福祉法人,1,1,施設併設,8011505000674,社会福祉法人北区社会福祉事業団,,,東京都北区指定居宅介護支援事業所清水坂あじさい荘,1371703271,東京都北区中十条4-16-32,03-5924-2058,03-5924-2058,固定(23区),03-5924-2262,http://kitajigyo.com,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,364,北区,○,○,社会福祉法人,1,1,独立系,9011105000982,社会福祉法人新栄会,,,滝野川指定居宅介護支援事業所,1371700095,東京都北区滝野川2-32-12滝野川病院1階,03-5907-5866,03-5907-5866,固定(23区),03-5907-5867,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,365,北区,○,,社会福祉法人,1,2,独立系,9040005001527,社会福祉法人晴山会,,,ケアパートナーあすか,1371704246,東京都北区西ヶ原４－５１－１,03-3940-9179,03-3940-9179,固定(23区),03-3940-9180,http://www.asuka-seizanen.com/,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,378,千代田区,○,○,NPO,1,1,独立系,3012705000642,特定非営利活動法人　いちごの会,,,いちご居宅介護支援事業所,1370101501,東京都千代田区神田東松下町22-1こもれび千桜1階,03-6260-9715,03-6260-9715,固定(23区),03-6260-9716,https://www.ichigonokai.com,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,379,千代田区,○,○,NPO,1,1,独立系,5010005009353,特定非営利活動法人ホープ,,,特定非営利活動法人ホープ,1370100818,東京都千代田区飯田橋1-12-16福岡ビル2階,03-3221-4266,03-3221-4266,固定(23区),03-6912-3234,https://hope-npo.org/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,387,台東区,○,○,一般社団・財団,1,1,独立系,4010505001793,一般社団法人ハーモニー,,,ヘルパーステーションハーモニー,1370601989,東京都台東区日本堤１－３１－１,03-6279-3998,03-6279-3998,固定(23区),03-6279-3999,https://www.heartpage.jp/taito/facility/20010433,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,389,台東区,○,○,一般社団・財団,1,1,独立系,6010505003458,一般社団法人輝翔会,,,一般社団法人輝翔会　居宅介護支援事業所　はなえ,1370604595,東京都台東区千束3-9-9齋藤ビル2階,03-6802-3874,03-6802-3874,固定(23区),03-6802-3804,https://www.hanae8343.com,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,390,台東区,○,○,一般社団・財団,1,1,独立系,1010505001870,一般社団法人Ｃ＆Ｎ,,,浅草あおばケアサービス,1370602938,東京都台東区浅草4-2-6ローヤルマンション１階,03-6240-6543,03-6240-6543,固定(23区),03-6240-6532,https://asakusaaoba.web.fc2.com/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,394,台東区,○,,医療法人,1,4,独立系,4300005006537,医療法人徳隣会,,,ケアプランセンターとくりん上野,1370604520,東京都台東区上野7丁目2番8号岡田タイルビル601号室,03-6231-7270,03-6231-7270,固定(23区),03-5830-0261,https://tsutsumiclinic.net/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,396,台東区,○,○,医療法人,1,1,独立系,1010505001912,医療法人社団トータルライフ医療会,,,ウェルビーイング２１居宅介護支援事業所,1370604207,東京都台東区雷門2-11-10コモドール雷門１階,03-5827-1921,03-5827-1921,固定(23区),03-5827-1922,https://wb21.net,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,422,台東区,○,○,NPO,1,1,訪問看護併設,9010505001137,特定非営利活動法人　訪問看護ステーションコスモス,,,特定非営利活動法人　訪問看護ステーションコスモス,1370602169,東京都台東区日本堤１－１－７,03-3871-7228,03-3871-7228,固定(23区),03-3871-7229,https://www.s-cosmos.org/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,423,台東区,○,○,NPO,1,1,独立系,2010505001184,特定非営利活動法人トータルサポートたいとう,,,居宅介護支援　むらさき,1370603514,東京都台東区竜泉3－19－7NPO法人トータルサポートたいとう内,03－5808－7820,03-5808-7820,固定(23区),03－5808－7825,https://www.tomoni-ikiru.com,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,424,台東区,○,○,NPO,1,1,独立系,4010505001190,特定非営利活動法人友愛会,,,ゆうあい,1370601443,東京都台東区清川2－2－3,03-5824-9135、,03-5824-9135,固定(23区),03-5824-9195、,https://you-i-kai.net,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,434,品川区,○,,医療法人,1,3,独立系,3030005006895,医療法人社団武蔵野会,,,医療法人社団武蔵野会ケアプランセンターcarna五反田,1370904342,東京都品川区西五反田3-10-9carna五反田6階,03-5496-8776,03-5496-8776,固定(23区),03-5496-8780,http://www.tmg.or.jp/carna_gotanda,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,470,品川区,○,○,社会福祉法人,1,1,独立系,1010705000441,社会福祉法人春光福祉会,,,品川区西大井在宅介護支援センター,1370900696,東京都品川区西大井２－４－４,03-5743-6120,03-5743-6120,固定(23区),03-5743-6121,http://www.shunkoufukushikai.or.jp,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 不明(法人格の記載なし),475,墨田区,○,○,不明(法人格の記載なし),1,1,独立系,1010602032785,ゆとりケア,,,ゆとりケア,1370702035,東京都墨田区亀沢1-20-4川浦ビル2階,03-6658-8660,03-6658-8660,固定(23区),03-6658-8661,https://www.yutori-care.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,481,墨田区,○,○,一般社団・財団,1,1,独立系,6010605003903,一般社団法人　ソーシャルインテグレーション,,,ほんわ花居宅,1370705418,東京都墨田区押上1-32-11,03-6661-8565,03-6661-8565,固定(23区),03-6661-8666,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,482,墨田区,○,○,一般社団・財団,1,1,独立系,8010605004230,一般社団法人てらす会,,,てらす居宅介護支援,1370705822,東京都墨田区京島１－２３－１０,03-6658-8457,03-6658-8457,固定(23区),03-6658-8458,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,483,墨田区,○,,医療法人,1,4,独立系,7140005007540,医療法人伯鳳会,,,むこうじまケアプランセンター,1370703439,東京都墨田区東向島2-36-11ベレール向島1Ｆ,03-3618-5855,03-3618-5855,固定(23区),03-3618-5856,,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,485,墨田区,○,○,医療法人,1,1,独立系,4010605001677,医療法人社団ソフィア,,,こうせい在宅,1370705962,東京都墨田区立花5-3-17メゾンさくら102号室,080-4191-7307,080-4191-7307,携帯,03-6820-9578,https://kousei-cl.com/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,486,墨田区,○,○,医療法人,1,1,訪問看護併設,4010605000472,医療法人社団隆靖会,,,医療法人社団隆靖会　墨田中央訪問看護ステーション居宅介護支援事業所,1370704296,東京都墨田区文化３－１５－２,０３－６６５７－１５５１,03-6657-1551,固定(23区),０３－３６１０－７７６７,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,530,墨田区,○,○,社会福祉法人,1,1,独立系,1010605000632,社会福祉法人同愛記念病院財団,,,同愛記念指定居宅介護支援事業所,1370700088,東京都墨田区横網2-1-11,03-3625-6391,03-3625-6391,固定(23区),03-5608-3239,http://www.doai.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 不明(法人格の記載なし),548,大田区,○,○,不明(法人格の記載なし),1,1,独立系,8010801015056,ハート,,,ハート,1371102425,東京都大田区羽田４丁目２１番１１号タカツホームズ　１Ｆ,03-5737-9110,03-5737-9110,固定(23区),03-5737-9118,http://www.heart-haneda.net/,"平日,土曜日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,551,大田区,○,○,一般社団・財団,1,1,医療機関併設,1010805000028,一般社団法人田園調布医師会,,,ケアプラン田園調布医師会,1371100353,東京都大田区石川町2丁目7番1号,03-3728-5541,03-3728-5541,固定(23区),03-3728-3855,http://www.dencho-med.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,553,大田区,○,,医療法人,1,4,独立系,4480005000398,医療法人平成博愛会,,,ケアプランセンターてとてと大岡山,1371112622,東京都大田区北千束3丁目16-19カーサ大岡山104号室,03-5754-7100,03-5754-7100,固定(23区),03-5754-7101,http://tetote.to/office/ookayama/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,554,大田区,○,○,医療法人,1,1,独立系,5010805000684,医療法人財団中島記念会,,,大森山王居宅介護支援事業所,1371105386,東京都大田区山王3-18-2,03-6429-8185,03-6429-8185,固定(23区),03-6429-8186,http://www.nakajima-hp.or.jp/txt/kaigo-shien.html,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,660,大田区,○,○,NPO,1,1,独立系,4010805001080,特定非営利活動法人たすけあい大田はせさんず,,,はせさんずケアサポート,1371102490,東京都大田区池上４－２８－３,03-5747-2800,03-5747-2800,固定(23区),03-6410-2855,https://hasesanz.com,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,661,大田区,○,○,NPO,1,1,独立系,5010805001229,特定非営利活動法人大田区ＮＰＯセンター,,,すまいる蓮沼,1371102847,東京都大田区西蒲田６丁目９番１号,03-5710-7003,03-5710-7003,固定(23区),03-5710-1331,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,662,大田区,○,○,NPO,1,1,独立系,5010805001088,特定非営利活動法人福祉コミュニティ大田,,,ケアステーション　らっこ,1371105345,東京都大田区蒲田本町2-12-1松井ビル1階,03-5710-1088,03-5710-1088,固定(23区),03-5713-2348,http://racco-npo.org/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,663,大田区,○,,医療法人,1,2,独立系,2050005008998,社会医療法人　若竹会,,,指定居宅介護支援事業所　セントラル大田,1371106046,東京都大田区大森西４丁目３－５３０７,03-6423-0721,03-6423-0721,固定(23区),03-6423-0726,https://central.or.jp/facilities/ohtaku02.php,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,664,大田区,○,○,医療法人,1,1,独立系,4010805000628,社会医療法人財団　仁医会,,,牧田介護サービスセンター,1371100254,東京都大田区西蒲田4-22-1牧田リハビリテーション病院,03-5748-5022,03-5748-5022,固定(23区),03-5748-5023,https://www.makita-hosp.or.jp/riha/ward/care_service/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,672,大田区,○,○,社会福祉法人,1,1,独立系,7010805000765,社会福祉法人有隣協会,,,居宅介護支援事業所ゆうりん大森,1371111947,東京都大田区大森東1-4-2,03-5763-5162,03-5763-5162,固定(23区),03-5763-5163,http://yurin.org/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,673,大田区,○,○,社会福祉法人,1,1,独立系,3010805000760,社会福祉法人池上長寿園,,,ケアプランセンター池上長寿園南蒲田事業所,1371101229,東京都大田区南蒲田二丁目9番7号,03-5713-1255,03-5713-1255,固定(23区),03-5713-1411,http://www.ikegami.or.jp,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,674,大田区,○,○,社会福祉法人,1,1,独立系,6010805000774,社会福祉法人白陽会,,,ケアプランたんぽぽ,1371101328,東京都大田区矢口１－２３－１２,03-5741-3366,03-5741-3366,固定(23区),03-5741-3323,http://www.hakuyokai.org/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,676,大田区,○,○,社会福祉法人,1,1,独立系,7010805000773,社会福祉法人響会,,,好日苑ケアプランセンター,1371100130,東京都大田区上池台5丁目7番1号,03-3748-6022,03-3748-6022,固定(23区),03-3748-6139,http://www.hibikikai-tokyo.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,686,文京区,○,○,一般社団・財団,1,1,医療機関併設,4010005002994,一般社団法人　小石川医師会,,,一般社団法人）小石川医師会居宅介護支援事業所,1370500322,東京都文京区小石川5-6-9,03-5978-9795,03-5978-9795,固定(23区),03-5978-9799,https://www.koishikawa-med.jp/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,689,文京区,○,○,医療法人,1,1,独立系,6010005027437,医療法人社団一専会,,,いちふじケアマネステーション,1370503656,東京都文京区関口一丁目13番14号向井ビル4階,03-6280-7590,03-6280-7590,固定(23区),03-6280-7591,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,690,文京区,○,○,医療法人,1,1,独立系,3013305000768,医療法人社団日成会,,,居宅介護支援事業所　小石川みやびの郷,1370502633,東京都文京区本郷4-17-9平井ビル　401,03-5689-6612,03-5689-6612,固定(23区),03-5689-6613,https://nisseikai.jp,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,720,文京区,○,○,社会福祉法人,1,1,独立系,6010005006507,社会福祉法人東六会,,,居宅介護支援事業所　ゆしまの郷,1370501486,東京都文京区湯島３－２９－１０,03-3836-3528,03-3836-3528,固定(23区),03-3836-3523,http://www.yushimanosato.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 不明(法人格の記載なし),735,新宿区,○,○,不明(法人格の記載なし),1,1,独立系,4011105001861,ルーツ支援センター,,,ルーツ支援センター,1370403196,東京都新宿区若松町17-6ARK　HOUSE　314,03-3200-6802,03-3200-6802,固定(23区),03-3203-1758,,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,738,新宿区,○,○,医療法人,1,1,独立系,2011105000898,医療法人社団曙光会,,,コンフォケアプランセンター,1370405191,東京都新宿区住吉町9-10小林ビル1F,03-5368-6202,03-5368-6202,固定(23区),03-5315-0190,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,739,新宿区,○,,医療法人,1,2,医療機関併設,4011105000772,医療法人社団松和会,,,望星西新宿診療所,1371301035,東京都新宿区西新宿3-12-12望星西新宿診療所ビル,03-5304-5655,03-5304-5655,固定(23区),03-5304-5680,,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,788,新宿区,○,○,NPO,1,1,独立系,6011105001455,特定非営利活動法人ほっとステーション,,,居宅介護支援事業所ほっとステーション,1370404319,東京都新宿区百人町3-28-5グランドヒルズA101,03-6908-9007,03-6908-9007,固定(23区),03-6908-6565,,"平日,土曜日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,789,新宿区,○,○,NPO,1,1,独立系,2011105001500,特定非営利活動法人フットワーク新宿,,,特定非営利活動法人フットワーク新宿,1370401158,東京都新宿区西早稲田3-13-15FWビル2階,03-3200-2515,03-3200-2515,固定(23区),03-5273-6378,http://www.fws.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,790,新宿区,○,○,NPO,1,1,独立系,7011105002023,特定非営利活動法人ベリタス会,,,ベリタス介護支援サービス,1370402545,東京都新宿区西早稲田２－７－１７イ－ルハウス２０１号,03-5273-3358,03-5273-3358,固定(23区),03-6205-5194,http://www.ve-ri-tas.com/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,791,新宿区,○,○,NPO,1,1,独立系,8011105001809,特定非営利活動法人東京山の手まごころサービス,,,東京山の手まごころサービス,1370401596,東京都新宿区高田馬場１丁目３２－７信ビル403号室,03-3205-6813,03-3205-6813,固定(23区),03-3205-6766,http://www.netlaputa.ne.jp/~yamanote/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,792,新宿区,○,○,NPO,1,1,独立系,9011105004091,特定非営利活動法人生活と文化を語る会癒ゆ里,,,生活と文化を語る会癒ゆ里,1370404418,東京都新宿区西落合3-1-9西落合ハイム1-102号,03-3951-5615,03-3951-5615,固定(23区),03-3951-5615,,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,793,新宿区,○,○,社会福祉法人,1,1,独立系,1010005005331,社会福祉法人　シルヴァーウイング,,,居宅介護支援事業所　戸山いつきの杜,1370407072,東京都新宿区戸山2丁目4番101号,090-1818-5897,090-1818-5897,携帯,03-6278-9003,,"平日,土曜日,日曜日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,794,新宿区,○,,社会福祉法人,1,5,施設併設,9011105002500,社会福祉法人　聖母会,,,聖母ホーム　居宅介護支援事業所,1370401471,東京都新宿区中落合2-5-21,03-3953-4028,03-3953-4028,固定(23区),03-3950-4130,http://www.seibohome.jp/,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,797,新宿区,○,○,社会福祉法人,1,1,独立系,7011105000984,社会福祉法人新宿区社会福祉事業団,,,新宿区立百人町高齢者在宅サービスセンター居宅介護支援事業所,1370402149,東京都新宿区百人町3-30-2,03-5925-1914,03-5925-1914,固定(23区),03-3368-3867,http://www.shinjuku-sj.jp/,"平日,土曜日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,815,杉並区,○,○,一般社団・財団,1,1,独立系,7011305002608,一般社団法人みんなのいえ,,,居宅介護支援事業所みんなのいえ,1371510502,東京都杉並区桃井1-3-10東京セントラル荻窪402,03-6454-7573,03-6454-7573,固定(23区),03-6454-7574,https://www.minnano-ie.com/soudan,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,816,杉並区,○,○,一般社団・財団,1,1,医療機関併設,4011305000044,一般社団法人杉並区医師会,,,杉並区医師会プランニング・サービス,1371500685,東京都杉並区天沼3-19-14フェニックス杉並1F,03-3391-0009,03-3391-0009,固定(23区),03-3391-0090,http://www.sgn.tokyo.med.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,817,杉並区,○,○,一般社団・財団,1,1,医療機関併設,2011305000046,一般社団法人衛生文化協会,,,城西病院在宅サポートセンター,1371500933,東京都杉並区上荻2-41-6春日ビル,03-3390-4154,03-3390-4154,固定(23区),03-3390-4174,,"平日,祝日",,,,,,,,,,,,,,
民間(営利法人)ではない: 一般社団・財団,818,杉並区,○,○,一般社団・財団,1,1,独立系,6011305002369,一般社団法人Ｇｅｎｙ,,,COZYケアプラン,1371510080,東京都杉並区高井戸西2-12-15オークハイツ102,03-5336-3664,03-5336-3664,固定(23区),03-5336-3668,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,820,杉並区,○,○,医療法人,1,1,独立系,8011305000560,医療法人社団　杏順会,,,ケアプランセンター杉並,1371504513,東京都杉並区上井草4-5-272階,03-3395-5086,03-3395-5086,固定(23区),03-3301-7732,http://www.koshikawa-hosp.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,822,杉並区,○,○,医療法人,1,1,医療機関併設,4011305000151,医療法人社団三成会,,,医療法人社団　三成会　河北前田病院,1371500768,東京都杉並区本天沼1-2-1,03-5327-3361,03-5327-3361,固定(23区),03-5327-3361,http://maeda-hp.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,823,杉並区,○,○,医療法人,1,1,医療機関併設,4011005005260,医療法人社団啓神会,,,Aiクリニック居宅支援事業所,1371511500,東京都杉並区高円寺北3-12-4,03-6382-7201,03-6382-7201,固定(23区),03-6908-6392,https://aiclinic.tokyo/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,825,杉並区,○,○,医療法人,1,1,訪問看護併設,7011305000082,医療法人社団明笙会,,,医療法人社団明笙会　たけうち訪問看護ステーション,1371501824,東京都杉並区成田東３-12-13,03-5378-3535,03-5378-3535,固定(23区),03-5378-3525,http://www.t-naika.com,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,826,杉並区,○,○,医療法人,1,1,独立系,5011305000084,医療法人社団松永会,,,ウェルファー指定居宅介護支援事業所,1371500289,東京都杉並区堀ノ内１－６－６,03-5305-7300,03-5305-7300,固定(23区),03-5305-7331,http://www.welfare.or.jp,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,827,杉並区,○,○,医療法人,1,1,独立系,3011305002974,医療法人社団永靖会,,,ひいらぎケアサポート,1371511534,東京都杉並区本天沼2-43-7プランドール１０１,03-6913-7953,03-6913-7953,固定(23区),03-6913-7962,,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,828,杉並区,○,○,医療法人,1,1,医療機関併設,6011305000141,医療法人社団蘭松会,,,医療法人社団蘭松会蘭松医院居宅介護支援事業所,1371503671,東京都杉並区成田東5-36-11,03-3393-1477,03-3393-1477,固定(23区),03-5938-7211,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,829,杉並区,○,○,医療法人,1,1,独立系,5011405001651,医療法人社団誠芯会,,,さくらの葉ケア,1371511633,東京都杉並区今川2-5-7サニーヒルズ荻窪407,03-6913-6560,03-6913-6560,固定(23区),03-6913-6564,https://saipon.jp/h/sakuranoha-c,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 医療法人,830,杉並区,○,○,医療法人,1,1,医療機関併設,2011305001309,医療法人財団アドベンチスト会,,,東京衛生病院指定居宅介護支援事業所,1371504083,東京都杉並区天沼3－18－22２階,03-3220-0547,03-3220-0547,固定(23区),03-3392-8366,http://www.tokyoeisei.com,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,893,杉並区,○,○,NPO,1,1,独立系,8011305001204,特定非営利活動法人かすみ草,,,ケアサポートかすみ草,1371504075,東京都杉並区和泉3-22-15グランヴェール和泉101,03-6265-7991,03-6265-7991,固定(23区),03-6265-7992,https://www.kasumiso.org,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,894,杉並区,○,○,NPO,1,1,独立系,7011305000537,特定非営利活動法人ともしび会,,,ケアプランえん,1371505460,東京都杉並区和田1-12-20,03-5342-0518,03-5342-0518,固定(23区),03-6904-7520,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,895,杉並区,○,○,NPO,1,1,独立系,1011305000617,特定非営利活動法人在宅ケア・セラビ,,,NPOケア杉並,1371505403,東京都杉並区方南２－２３－６林ビル202,03-5378-8051,03-5378-8051,固定(23区),03-5378-8580,http://npo-care-suginami.jimdo.com,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: NPO,896,杉並区,○,○,NPO,1,1,独立系,3011305000697,特定非営利活動法人在宅介護福祉センター浜田山,,,特定非営利活動法人　在宅介護福祉センター浜田山,1371509660,東京都杉並区成田西3-3-25,03-3315-3031,03-3315-3031,固定(23区),03-3315-4722,,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,900,杉並区,○,○,社会福祉法人,1,1,独立系,5011305000191,社会福祉法人サンフレンズ,,,サンフレンズ上井草支援センター,1371500149,東京都杉並区上井草3-33-10,03-5311-4165,03-5311-4165,固定(23区),03-5311-9060,http://www.3friends.or.jp,"平日,土曜日",,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,901,杉並区,○,○,社会福祉法人,1,1,独立系,7011305002186,社会福祉法人八成グループ,,,八成居宅介護支援事業所,1371508720,東京都杉並区井草1-40-16,03-5303-8738,03-5303-8738,固定(23区),03-5303-5776,http://care-net.biz/13/8nari/,平日,,,,,,,,,,,,,,
民間(営利法人)ではない: 社会福祉法人,902,杉並区,○,○,社会福祉法人,1,1,独立系,6010005001045,社会福祉法人救世軍社会事業団,,,ブース記念ケアマネジメントセンター和田,1371500362,東京都杉並区和田１－４0－15,03-5342-3840,03-5342-3840,固定(23区),03-6855-7511,http://grace.salvationarmy.or.jp/,平日,,,,,,,,,,,,,,
